Act,Handle,Year,Num
Bharat Petroleum Corporation Limited (Determination of Conditions of Service of Employees) Act,1836,1988,44
Religious Institutions (Prevention of Misuse) Act,1833,1988,41
Special Protection Group Act,1824,1988,34
Commission of Sati (Prevention) Act,1814,1988,3
Chandigarh (Delegation of Powers) Act,1393,1988,2
Railway Claims Tribunal Act,1771,1987,54
National Housing Bank Act,1881,1987,53
All India Council for Technical Education Act,1880,1987,52
Legal Services Authorities Act,1925,1987,39
National Dairy Development Board Act,1913,1987,37
Expenditure-tax Act,1892,1987,35
"Goa, Daman and Diu Reorganisation Act",1886,1987,18
"Goa, Daman and Diu Mining Concession (Abolition and Declaration as Mining Leases) Act",1884,1987,16
Jute Packaging Materials (Compulsory Use in Packing Commodities) Act,1882,1987,10
State of Arunachal Pradesh Act,1878,1986,69
Consumer Protection Act,1868,1986,68
Child and Adolescent Labour (Prohibition and Regulation) Act,1848,1986,61
Indecent Representation of Women (Prohibition) Act,1768,1986,60
Delhi Apartment Ownership Act,1805,1986,58
"Dock Workers (Safety, Health And Welfare) Act",1867,1986,54
National Security Guard Act,1853,1986,47
State of Mizoram Act,1869,1986,34
Swadeshi Cotton Mills Company Limited (Acquisition and Transfer of Undertakings) Act,1871,1986,30
Environment (Protection) Act,1876,1986,29
Coal Mines Labour Welfare Fund (Repeal) Act,1859,1986,27
Muslim Women (Protection of Rights on Divorce) Act,1873,1986,25
Spices Board Act,1872,1986,10
Agricultural and Processed Food Products Export Development Authority Act,1865,1986,2
Narcotic Drugs and Psychotropic Substances Act,1791,1985,612
Inland Waterways Authority of India Act,1856,1985,82
Judges (Protection) Act,1858,1985,59
Intelligence Organisations (Restriction on Rights) Act,1811,1985,58
Pondicherry University Act,1862,1985,53
Indira Gandhi National Open University Act,1850,1985,50
Handlooms (Reservation of Articles for Production) Act,1864,1985,22
Bhopal Gas Leak Disaster (Processing of Claims) Act,1855,1985,21
Administrative Tribunals Act,1832,1985,13
Calcutta Metro Railway (Operation And Maintenance) Temporary Provisions Act,1866,1985,10
National Capital Region Planning Board Act,1847,1985,2
Family Courts Act,1844,1984,66
Terrorist Affected Areas (Special Courts) Act,1831,1984,61
Hooghly Docking and Engineering Company Limited (Acquisition and Transfer Of Undertakings) Act,1845,1984,55
Indian Veterinary Council Act,1812,1984,52
Inchek Tyres Limited and National Rubber Manufacturers Limited (Nationalisation) Act,1822,1984,17
Asiatic Society Act,1789,1984,5
Prevention of Damage to Public Property Act,1770,1984,3
Illegal Migrants (Determination by Tribunals) Act,1766,1983,391
Public Financial Institutions (Obligation as to Fidelity and Secrecy) Act,1821,1983,48
Armed Forces (Punjab and Chandigarh) Special Powers Act,1843,1983,34
Chandigarh Disturbed Areas Act,1823,1983,33
Punjab Disturbed Areas Act,1800,1983,32
Emigration Act,1779,1983,31
African Development Bank Act,1839,1983,13
Suppression of Unlawful Acts Against Safety of Civil Aviation Act,1795,1982,66
State Bank of Sikkim (Acquisition of Shares) and Miscellaneous Provisions Act,1773,1982,62
"Governors (Emoluments, Allowances and Privileges) Act",1838,1982,43
Chit Funds Act,1797,1982,40
Chaparmukh Silghat Railway Line and the Kata khal Lala bazaar Railway Line (Nationalisation) Act,1784,1982,36
Sugar Development Fund Act,1780,1982,4
African Development Fund Act,1828,1982,1
National Bank for Agriculture and Rural Development Act,1670,1981,61
Cine-Workers and Cinema Theatre Workers (Regulation of Employment) Act,1516,1981,50
Anti-Apartheid (United Nations Convention) Act,1827,1981,48
Maritime Zones of India (Regulation of Fishing by Foreign Vessels) Act,1817,1981,42
Cine-Workers Welfare Fund Act,1809,1981,33
Dalmia Dadri Cement Limited (Acquisition and Transfer of Undertakings) Act,2477,1981,31
British India Corporation Limited (Acquisition of Shares) Act,1790,1981,29
Export-Import Bank of India Act,1782,1981,28
"High Court at Bombay (Extension of Jurisdiction to Goa, Daman and Diu) Act",1783,1981,26
Air (Prevention and Control of Pollution) Act,1389,1981,14
Hind Cycles Limited and Sen-Raleigh Limited (Nationalisation) Act,1769,1980,70
Van (Sanrakshan Evam Samvardhan) Adhiniyam,1760,1980,69
Bird and Company Limited (Acquisition and Transfer of Undertakings and Other Properties) Act,19235,1980,67
National Security Act,1758,1980,65
Jute Companies (Nationalisation) Act,1756,1980,62
Company Secretaries Act,1754,1980,56
Hotel-Receipts Tax Act,1834,1980,54
"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Trivandrum Act",1825,1980,52
Brahmaputra Board Act,1810,1980,46
National Company Limited (Acquisition and Transfer of Undertakings) Act,1801,1980,42
Essential Services Maintenance (Assam) Act,18944,1980,41
Banking Companies (Acquisition and Transfer of Undertakings) Act,1792,1980,40
Prevention of Black marketing and Maintenance of Supplies of Essential Commodities Act,1781,1980,7
Haryana and Uttar Pradesh (Alteration of Boundaries) Act,1751,1979,31
Inter-State Migrant Workmen Regulation of Employment and Condition of Service) Act,1750,1979,30
Union Duties of Excise (Distribution) Act,1749,1979,24
Coconut Development Board Act,1745,1979,5
Prize Chits and Money Circulation Scheme (Banning) Act,1628,1978,43
Britannia Engineering Company Limited (Mokameh Unit) and the Arthur Butler and Company (Muzaffarpore) Limited (Acquisition And Transfer of Undertakings) Act,1469,1978,41
Press Council Act,1744,1978,37
Delhi Police Act,1742,1978,34
Metro Railways (Construction of Works) Act,1737,1978,33
Coast Guard Act,1734,1978,30
Public Sector Iron and Steel Companies (Restructuring) and Miscellaneous Provisions Act,1707,1978,16
Interest Act,1724,1978,14
High Denomination Bank Notes (Demonetisation) Act,1380,1978,11
Lady Hardinge Medical College and Hospital (Acquisition and Miscellaneous Provisions) Act,1623,1977,34
Salary and Allowances of Leaders of Opposition in Parliament Act,1622,1977,33
Parliamentary Proceedings (Protection of Publication) Act,2442,1977,15
Scheduled Castes and Scheduled Tribes Orders (Amendment) Act,1489,1976,108
"Territorial Waters, Continental Shelf, Exclusive Economic Zone and Other Maritime Zones Act",1484,1976,80
Disturbed Areas (Special Courts) Act,1482,1976,77
Life Insurance Corporation (Modification of Settlement) Act,1433,1976,72
Betwa River Board Act,1479,1976,63
Departmentalisation of Union Accounts (Transfer of Personnel) Act,1483,1976,59
High Court at Patna (Establishment of a Permanent Bench at Ranchi) Act,1468,1976,57
Levy Sugar Price Equalisation Fund Act,1495,1976,31
Equal Remuneration Act,1494,1976,25
Regional Rural Banks Act,1492,1976,21
Bonded Labour System (Abolition) Act,1491,1976,19
Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act,1490,1976,13
Sales Promotion Employees (Conditions of Service) Act,1473,1976,11
Election Laws (Extension to Sikkim) Act,1405,1976,10
Customs Tariff Act,8774,1975,51
Delhi Sales Tax Act,1637,1975,43
Rampur Raza Library Act,1735,1975,22
Tokyo Convention Act,1743,1975,20
Tobacco Board Act,1739,1975,4
Sick Textile Undertakings (Nationalisation) Act,1607,1974,57
East-Punjab Urban Rent Restriction (Extension to Chandigarh) Act,1610,1974,54
Conservation of Foreign Exchange and Prevention of Smuggling Activities Act,1618,1974,52
Oil Industry (Development) Act,1617,1974,47
Interest- tax Act,1616,1974,45
University of Hyderabad Act,1615,1974,39
Economic Offences (Inapplicability of Limitation) Act,1613,1974,12
Water (Prevention and Control of Pollution) Act,1612,1974,6
Code of Criminal Procedure,16225,1974,2
Delhi Urban Art Commission Act,1601,1974,1
Authoritative Texts (Central Laws) Act,1388,1973,50
North-Eastern Hill University Act,1478,1973,24
Delhi School Education Act,1456,1973,18
Diplomatic and Consular Officers (Oaths and Fees) (Extension to Jammu and Kashmir) Act,1465,1973,2
Richardson and Cruddas Limited (Acquisition and Transfer of Undertaking) Act,1738,1972,78
Carriage by Air Act,1658,1972,69
Former Secretary of State Service Officers (Conditions of Service) Act,1728,1972,59
General Insurance Business (Nationalisation) Act,1710,1972,57
Wild Life (Protection) Act,1726,1972,53
Antiquities and Art Treasures Act,1693,1972,52
Diplomatic Relations (Vienna Convention) Act,1721,1972,43
Payment of Gratuity Act,1703,1972,39
Delhi Lands (Restriction on Transfer) Act,1723,1972,30
National Service Act,1629,1972,28
Taxation Laws (Extension to Jammu and Kashmir) Act,19247,1972,25
Architects Act,1690,1972,20
Departmental Inquiries (Enforcement of Attendance of Witnesses and Production of Documents) Act,1718,1972,18
Marine Products Export Development Authority Act,1665,1972,13
